Order ID,Order Date,Ship Date,customer Name,Customer ID,Customer Segment,product ID,Category,Product Name,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,payment Mode,Delivery Status,supplier Name,supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1000,22-07-2024,27-07-2024,Melinda Scott,CUST358,Corporate,PROD6211,Office Supplies,Pen,South,Florida,Leahview,10,1544,10,13896,10248.99,3647.01,Credit Card,Delivered,"Avila, Glass and Keith",jennifer65@cox.net,20,No,0
ORD1001,25-10-2025,30-10-2025,David Robinson,CUST810,Corporate,PROD2985,Grocery,Cooking Oil,West,Iowa,East Michaelburgh,2,4967,20,7947.2,6308.62,1638.58,Net Banking,Delivered,Vang PLC,avilatoni@ball-peters.net,25,No,0
ORD1002,25-01-2024,29-01-2024,Colton Carrillo,CUST380,Consumer,PROD3023,Electronics,Laptop,West,Indiana,West Vincentview,4,899,5,3416.2,2909.88,506.32,Net Banking,Pending,Carey Group,ebony94@bennett-tucker.com,9,Yes,42
ORD1003,12-07-2024,18-07-2024,Anne English,CUST142,Home Office,PROD1308,Electronics,Keyboard,South,Massachusetts,Isaachaven,5,1195,0,5975,4056.12,1918.88,Net Banking,Pending,"Lopez, Ewing and Erickson",ballrobert@garza.com,35,No,0
ORD1004,09-09-2024,14-09-2024,Jennifer Sanchez,CUST554,Consumer,PROD1967,Office Supplies,Notbook,East,Hawaii,Jesseview,8,920,0,7360,4426.34,2933.66,Net Banking,Cancelled,Harris PLC,weberemily@duncan-rush.com,37,No,0
ORD1005,05-11-2025,12-11-2025,Lynn Cole,CUST999,Corporate,PROD5194,Grocery,Sugar,South,Delaware,West Brandontown,8,443,0,3544,3071.82,472.18,Credit Card,Delivered,Rodriguez Ltd,phillipslinda@riley.info,29,No,0
ORD1006,30-08-2025,03-09-2025,Daniel Ramirez,CUST148,Home Office,PROD2914,Electronics,Monitor,East,Montana,Debraside,4,838,20,2681.6,2333.86,347.74,UPI,Returned,"Schmidt, Soto and Guerrero",jacksonjohn@salas-wheeler.com,16,No,0
ORD1007,29-08-2025,31-08-2025,Edwin Callahan,CUST992,Consumer,PROD4604,Grocery,Smacks,South,West Virginia,Lake Angelatown,9,4212,0,37908,26103.25,11804.75,Cash,Returned,Solis-Schmidt,craig86@peterson-french.net,28,No,0
ORD1008,04-09-2024,08-09-2024,Jose Williams,CUST386,Home Office,PROD2102,Furniture,Bookshelf,South,Nevada,New Colleen,2,235,10,423,295.57,127.43,Net Banking,Cancelled,"Gonzalez, Vasquez and Rodriguez",englishjoshua@farley.com,9,Yes,22
ORD1009,01-06-2025,07-06-2025,Eric Edwards,CUST670,Consumer,PROD7721,Furniture,Bookshelf,South,Iowa,Hillborough,4,137,15,465.8,289.74,176.06,Cash,Pending,Davis Group,dylan22@thomas.org,32,No,0
